"","suminc_before_application","default_option","quarter_ofyear","children","years_education","totweeksbenefits26","totincome26","age","benefits_wk13","location","female","partner","totweekswage26","benefits_wk26","searchperiod"
"1194",41.469246,"normal",1,0,10,0,7144.8086,46,0,"Centrum/Oost",0,0,23,0,1
"1196",5.0474043,"normal",1,0,13,26,5497.4976,43,1,"Centrum/Oost",0,0,0,1,0
"1197",33.440281,"normal",4,0,15,0,6919.9824,45,0,"Centrum/Oost",1,0,0,0,1
"1198",51.298927,"normal",2,0,15,3,19053.289,30,0,"Nieuw-West",0,0,26,0,1
"1199",84.199997,"normal",2,0,11.5,3,10672.979,48,0,"Nieuw-West",0,0,23,1,1
"1200",52.504616,"normal",2,0,10,9,8466.6768,33,0,"Nieuw-West",0,0,20,0,1
"1202",37.421368,"normal",3,1,NA,3,782.19006,30,0,"Nieuw-West",1,0,0,0,1
"1203",38.504681,"normal",1,0,10,24,7697.1719,56,1,"Nieuw-West",1,0,26,1,0
"1204",49.910152,"normal",3,0,13,26,5573.9785,28,1,"Nieuw-West",1,0,0,1,0
"1205",8.9526219,"normal",2,0,15,9,10407.691,31,0,"Nieuw-West",1,0,26,0,1
"1206",32.694679,"normal",3,0,13,20,7318.4795,32,1,"Nieuw-West",0,0,7,0,1
"1208",36.060043,"normal",3,0,11.5,26,7444.6279,39,1,"Nieuw-West",0,1,1,1,0
"1210",15.311906,"normal",3,0,6,26,5020.9106,28,1,"Nieuw-West",0,0,3,1,1
"1211",17.995245,"normal",2,0,11.5,8,2666.8193,28,0,"Nieuw-West",0,0,10,0,0
"1212",43.321228,"normal",3,0,6,0,11919.576,29,0,"Nieuw-West",1,0,23,0,1
"1213",1,"normal",2,0,6,26,5437.9985,29,1,"Nieuw-West",0,0,0,1,1
"1214",1,"normal",1,1,11.5,0,0,45,0,"Nieuw-West",0,1,0,0,0
"1215",31.929573,"normal",2,0,10,26,4674.7368,45,1,"Nieuw-West",1,0,0,1,0
"1216",1.24343871,"normal",2,0,11.5,0,0,32,0,"Nieuw-West",0,0,0,0,1
"1217",1.25060502,"normal",2,1,NA,0,0,28,0,"Nieuw-West",1,0,0,0,1
"1218",30.481451,"normal",2,0,15,26,6709.2202,54,1,"Nieuw-West",0,0,26,1,0
"1219",24.236298,"normal",2,0,15,0,4313.6206,29,0,"Nieuw-West",1,0,21,0,1
"1220",1.29015741,"normal",2,0,6,1,1942.9388,28,0,"Nieuw-West",0,0,10,0,1
"1221",21.620533,"normal",2,0,16.5,26,4679.1797,41,1,"Centrum/Oost",1,0,0,1,1
"1222",15.506303,"normal",3,0,16.5,20,4086.7612,30,1,"Centrum/Oost",0,0,0,1,1
"1223",34.981609,"normal",2,0,13,4,7972.5269,34,0,"Centrum/Oost",0,0,18,0,0
"1224",24.827906,"normal",2,1,10,26,6531.561,45,1,"Centrum/Oost",1,0,0,1,0
"1225",1.10904185,"normal",1,0,10,26,9817.2959,39,1,"Centrum/Oost",0,0,16,1,0
"1226",32.700134,"normal",4,0,13,0,2526.8879,41,0,"Centrum/Oost",0,0,0,0,1
"1228",60.600677,"normal",2,0,10,26,6802.7622,38,1,"Centrum/Oost",0,0,6,1,1
"1229",40.164001,"normal",4,0,11.5,4,6840.9419,46,0,"Centrum/Oost",1,0,26,0,1
"1230",37.937969,"normal",2,0,15,26,5632.2124,43,1,"Centrum/Oost",0,0,0,1,0
"1231",45.933949,"normal",4,1,10,0,13370.986,37,0,"Centrum/Oost",1,0,26,0,0
"1232",16.625942,"normal",2,0,15,26,5439.2393,47,1,"Centrum/Oost",0,0,0,1,0
"1233",1,"normal",4,0,11.5,26,4931.7729,51,1,"Centrum/Oost",1,0,0,1,0
"1234",27.39126,"normal",4,0,10,0,0,37,0,"Centrum/Oost",0,0,0,0,1
"1236",72.909264,"normal",4,0,NA,0,18275.289,31,0,"Centrum/Oost",1,0,26,0,1
"1237",41.675583,"normal",2,0,15,26,5373.7314,43,1,"Centrum/Oost",0,0,0,1,0
"1238",29.657192,"normal",1,0,16.5,0,15345.09,35,0,"Centrum/Oost",1,0,26,0,1
"1239",56.931351,"normal",1,0,13,10,12133.619,30,0,"Centrum/Oost",0,0,10,1,0
"1240",22.967775,"normal",4,0,10,0,0,45,0,"Centrum/Oost",0,0,0,0,1
"1241",74.437309,"normal",2,0,15,0,18238.887,29,0,"Centrum/Oost",1,0,26,0,1
"1243",15.169522,"normal",1,0,16.5,11,8615.7881,56,0,"Centrum/Oost",0,0,17,0,1
"1244",50.985531,"normal",2,0,6,17,4910.0962,37,1,"Centrum/Oost",0,0,0,1,0
