state,time,accident,year,pop,rgastax,permale,unemp,txmsban,treated
8,45,42,2010,5049071,.0018494867,.50099999,8.8000002,1,1
8,46,49,2010,5049071,.0018471866,.50099999,8.8999996,1,1
8,47,30,2010,5049071,.0018464099,.50099999,8.8999996,1,1
8,48,39,2010,5049071,.0018432423,.50099999,8.8999996,1,1
9,1,24,2007,3502309,.0021440992,.48749009,4.4000001,0,1
9,2,21,2007,3502309,.0021326886,.48749009,4.4000001,0,1
9,3,18,2007,3502309,.002113444,.48749009,4.4000001,0,1
9,4,19,2007,3502309,.0020998034,.48749009,4.4000001,0,1
9,5,19,2007,3502309,.0020870501,.48749009,4.4000001,0,1
9,6,17,2007,3502309,.0020830133,.48749009,4.5,0,1
9,7,25,2007,3502309,.0020835432,.48749009,4.5,0,1
9,8,32,2007,3502309,.0020873712,.48749009,4.5999999,0,1
9,9,29,2007,3502309,.0020816345,.48749009,4.6999998,0,1
9,10,24,2007,3502309,.0020771909,.48749009,4.8000002,0,1
9,11,22,2007,3502309,.0020649261,.48749009,4.9000001,0,1
9,12,19,2007,3502309,.0020663124,.48749009,4.9000001,0,1
9,13,21,2008,3501252,.0029609627,.48787189,4.9000001,0,1
9,14,17,2008,3501252,.0029523887,.48787189,5,0,1
9,15,19,2008,3501252,.0029270167,.48787189,5,0,1
9,16,20,2008,3501252,.0029093719,.48787189,5.0999999,0,1
9,17,25,2008,3501252,.0028850769,.48787189,5.3000002,0,1
9,18,28,2008,3501252,.0028562942,.48787189,5.5,0,1
9,19,35,2008,3501252,.0028413739,.48787189,5.6999998,0,1
9,20,25,2008,3501252,.002852761,.48787189,5.8000002,0,1
9,21,33,2008,3501252,.0028567119,.48787189,6,0,1
9,22,25,2008,3501252,.002885863,.48787189,6.1999998,0,1
9,23,14,2008,3501252,.002942215,.48787189,6.4000001,0,1
9,24,17,2008,3501252,.0029729628,.48787189,6.6999998,0,1
9,25,14,2009,3518288,.0025953972,.48820221,7.0999999,0,1
9,26,10,2009,3518288,.0025825545,.48820221,7.5,0,1
